ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division,Source
TN010400,Shri Pvv Krishnan,Tamil Nadu,0,Diploma,German,Languages and Fine Arts,Ordinary,Supremo
TN010400,Shri Pvv Krishnan,Tamil Nadu,1,Graduate,Physics,Natural Sciences,First,Supremo
TN010400,Shri Pvv Krishnan,Tamil Nadu,2,P.G.,Electronics,"Engineering, Technology and Mathematics",Ordinary,Supremo
TN010500,Shri K A Nambiar,Tamil Nadu,0,Graduate,English,Languages and Fine Arts,Second,Supremo
TN010500,Shri K A Nambiar,Tamil Nadu,1,P.G.,English Lit,Languages and Fine Arts,First,Supremo
TN010600,Shri Mak Tayab,Tamil Nadu,0,Graduate,English,Languages and Fine Arts,Second,Supremo
TN010600,Shri Mak Tayab,Tamil Nadu,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
TN010700,Shri Ras Das,Tamil Nadu,0,Graduate,Economics,Social Science and Liberal Arts,Third,Supremo
TN010701,Dr. Hbn Shetty,Tamil Nadu,0,Diploma,Public Admn,"Governance, Law and Management",Ordinary,Supremo
TN010701,Dr. Hbn Shetty,Tamil Nadu,1,Graduate,Law,"Governance, Law and Management",First,Supremo
TN010701,Dr. Hbn Shetty,Tamil Nadu,2,P.G.,Chemistry,Natural Sciences,Second,Supremo
TN010701,Dr. Hbn Shetty,Tamil Nadu,3,Ph. D.,Rural Economics,Social Science and Liberal Arts,Ordinary,Supremo
TN010702,Shri Mk Gomethgavelu,Tamil Nadu,0,Graduate,Economics,Social Science and Liberal Arts,Third,Supremo
AM006500,Shri H N Das,Assam Meghalya,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
AM006500,Shri H N Das,Assam Meghalya,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
AM006500,Shri H N Das,Assam Meghalya,2,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
AM006600,Shri P C Misra,Assam Meghalya,0,Graduate,Physics,Natural Sciences,First,Supremo
AM006600,Shri P C Misra,Assam Meghalya,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
AM006800,Shri Dalip Singh,Assam Meghalya,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AM006800,Shri Dalip Singh,Assam Meghalya,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
AM006800,Shri Dalip Singh,Assam Meghalya,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
AP012200,Shri Tnr Rao,Andhra Pradesh,0,Graduate,English,Languages and Fine Arts,First,Supremo
AP012200,Shri Tnr Rao,Andhra Pradesh,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",Second,Supremo
AP012300,Shri R Kuppu Rao,Andhra Pradesh,0,Diploma,Constl.law,"Governance, Law and Management",Ordinary,Supremo
AP012300,Shri R Kuppu Rao,Andhra Pradesh,1,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
AP012300,Shri R Kuppu Rao,Andhra Pradesh,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
AP012400,Shri Kj Reddy,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AP012400,Shri Kj Reddy,Andhra Pradesh,1,P.G.,Econometrics,Social Science and Liberal Arts,Second,Supremo
AP012400,Shri Kj Reddy,Andhra Pradesh,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
AP012500,Dr. S Chakravarthy,Andhra Pradesh,0,Certificate,French,Languages and Fine Arts,Ordinary,Supremo
AP012500,Dr. S Chakravarthy,Andhra Pradesh,1,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
AP012500,Dr. S Chakravarthy,Andhra Pradesh,2,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
AP012500,Dr. S Chakravarthy,Andhra Pradesh,3,Ph. D.,Management,"Engineering, Technology and Mathematics",Ordinary,Supremo
BH014600,Shri B Banerjee,Bihar,0,Graduate,Political Sc.,Social Science and Liberal Arts,First,Supremo
BH014600,Shri B Banerjee,Bihar,1,P.G.,Political Sc.,Social Science and Liberal Arts,First,Supremo
BH014700,Shri A K Basak,Bihar,0,Graduate,History,Social Science and Liberal Arts,Ordinary,Supremo
BH014700,Shri A K Basak,Bihar,1,P.G.,History,Social Science and Liberal Arts,Ordinary,Supremo
BH014900,Shri R U Singh,Bihar,0,Certificate,French,Languages and Fine Arts,Ordinary,Supremo
BH014900,Shri R U Singh,Bihar,1,Graduate,Physics,Natural Sciences,First,Supremo
BH014900,Shri R U Singh,Bihar,2,P.G.,Statistics,"Engineering, Technology and Mathematics",First,Supremo
BH015000,Shri Ic Kumar,Bihar,0,N.A.,N.A.,N.A.,N.A.,Supremo
BH015100,Shri Tcas Ramanujan,Bihar,0,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
GJ007500,Shri S K Shelat,Gujarat,0,Graduate,Commerce,Finance,Second,Supremo
GJ007500,Shri S K Shelat,Gujarat,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
GJ007700,Shri V Krishnamurthy,Gujarat,0,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
GJ007700,Shri V Krishnamurthy,Gujarat,1,P.G.,Statistics,"Engineering, Technology and Mathematics",Second,Supremo
GJ007800,Shri G R Rao,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
GJ007800,Shri G R Rao,Gujarat,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
GJ007900,Shri P V Swaminathan,Gujarat,0,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
GJ008100,Shri K Ramamoorthy,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Third,Supremo
GJ008100,Shri K Ramamoorthy,Gujarat,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
GJ008200,Dr. K C Sagar,Gujarat,0,Certificate,German,Languages and Fine Arts,Third,Supremo
GJ008200,Dr. K C Sagar,Gujarat,1,Graduate,Hindi,Languages and Fine Arts,Second,Supremo
GJ008200,Dr. K C Sagar,Gujarat,2,P.G.,History,Social Science and Liberal Arts,Second,Supremo
GJ008200,Dr. K C Sagar,Gujarat,3,Ph. D.,Indian History,Social Science and Liberal Arts,Ordinary,Supremo
GJ008201,Shri J D Gajjar,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
GJ008201,Shri J D Gajjar,Gujarat,1,Graduate,Law,"Governance, Law and Management",First,Supremo
GJ008201,Shri J D Gajjar,Gujarat,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
GJ008202,Shri Td Soyantar,Gujarat,0,Diploma,Commerce,Finance,Ordinary,Supremo
GJ008202,Shri Td Soyantar,Gujarat,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
GJ008202,Shri Td Soyantar,Gujarat,2,Graduate,Law,"Governance, Law and Management",Second,Supremo
UP021500,Dr. Dr J P Singh,Uttar Pradesh,0,Certificate,Indl.dev.,"Governance, Law and Management",Ordinary,Supremo
UP021500,Dr. Dr J P Singh,Uttar Pradesh,1,Graduate,Philosophy,Social Science and Liberal Arts,First,Supremo
UP021500,Dr. Dr J P Singh,Uttar Pradesh,2,P.G.,History,Social Science and Liberal Arts,First,Supremo
UP021500,Dr. Dr J P Singh,Uttar Pradesh,3,Ph. D.,History,Social Science and Liberal Arts,Ordinary,Supremo
UP021600,Shri Tsr Subramanian,Uttar Pradesh,0,Diploma,Mathematics,"Engineering, Technology and Mathematics",Ordinary,Supremo
UP021600,Shri Tsr Subramanian,Uttar Pradesh,1,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second,Supremo
UP021600,Shri Tsr Subramanian,Uttar Pradesh,2,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
UP021600,Shri Tsr Subramanian,Uttar Pradesh,3,P.G.,Mathematics,"Engineering, Technology and Mathematics",Ordinary,Supremo
UP021700,Shri Jc Pant,Uttar Pradesh,0,Diploma,French,Languages and Fine Arts,Ordinary,Supremo
UP021700,Shri Jc Pant,Uttar Pradesh,1,Diploma,Mountaineering,Others,Ordinary,Supremo
UP021700,Shri Jc Pant,Uttar Pradesh,2,Graduate,Physics,Natural Sciences,First,Supremo
UP021700,Shri Jc Pant,Uttar Pradesh,3,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
UP021900,Shri R Chandra,Uttar Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
UP021900,Shri R Chandra,Uttar Pradesh,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
UP021900,Shri R Chandra,Uttar Pradesh,2,P.G.,Philosophy,Social Science and Liberal Arts,Second,Supremo
UT002500,Shri Vk Kapoor,A G M U T,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
UT002500,Shri Vk Kapoor,A G M U T,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
UT002600,Shri P Rohmingthanga,A G M U T,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
WB011600,Shri Ak Mukherjee,West Bengal,0,Certificate,Economic Dev.,Social Science and Liberal Arts,Ordinary,Supremo
WB011600,Shri Ak Mukherjee,West Bengal,1,Certificate,Public Admn,"Governance, Law and Management",Ordinary,Supremo
WB011600,Shri Ak Mukherjee,West Bengal,2,Graduate,Political Sc.,Social Science and Liberal Arts,Second,Supremo
WB011600,Shri Ak Mukherjee,West Bengal,3,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
WB011700,Shri Sujit Banerji,West Bengal,0,Graduate,Chemistry,Natural Sciences,Ordinary,Supremo
WB011700,Shri Sujit Banerji,West Bengal,1,P.G.,Urban Planning,"Governance, Law and Management",Ordinary,Supremo
WB011800,Shri N Krishnamurthi,West Bengal,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
WB011800,Shri N Krishnamurthi,West Bengal,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
WB011800,Shri N Krishnamurthi,West Bengal,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
HP002000,Shri Rc Gupta,Himachal Pradesh,0,Diploma,Economic Dev.,Social Science and Liberal Arts,Ordinary,Supremo
HP002000,Shri Rc Gupta,Himachal Pradesh,1,Graduate,English,Languages and Fine Arts,Second,Supremo
HP002000,Shri Rc Gupta,Himachal Pradesh,2,Graduate,Law,"Governance, Law and Management",Second,Supremo
HP002000,Shri Rc Gupta,Himachal Pradesh,3,P.G.,English,Languages and Fine Arts,Third,Supremo
HY004500,Shri A Banerjee,Haryana,0,Graduate,History,Social Science and Liberal Arts,First,Supremo
HY004500,Shri A Banerjee,Haryana,1,P.G.,History,Social Science and Liberal Arts,First,Supremo
HY004700,Shri Ld Kataria,Haryana,0,Certificate,Banking,Finance,First,Supremo
HY004700,Shri Ld Kataria,Haryana,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
HY004700,Shri Ld Kataria,Haryana,2,Graduate,Punjabi,Languages and Fine Arts,Second,Supremo
JK001300,Shri Rk Takkar,Jammu & Kashmir,0,Graduate,Political Sc.,Social Science and Liberal Arts,Second,Supremo
JK001300,Shri Rk Takkar,Jammu & Kashmir,1,P.G.,Political Sc.,Social Science and Liberal Arts,First,Supremo
KL005400,Shri R Nair,Kerala,0,Graduate,Zoology,Natural Sciences,First,Supremo
KL005400,Shri R Nair,Kerala,1,P.G.,English Lit,Languages and Fine Arts,First,Supremo
KL005500,Shri Gg Pillai,Kerala,0,Graduate,Civil Engg,"Engineering, Technology and Mathematics",First,Supremo
KL005600,Shri Kln Rao,Kerala,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
KL005600,Shri Kln Rao,Kerala,1,Graduate,Law,"Governance, Law and Management",Third,Supremo
KL005600,Shri Kln Rao,Kerala,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
BH014500,Shri Ar Bandopadhyay,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
BH014500,Shri Ar Bandopadhyay,Bihar,1,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
BH014800,Shri Ramadhar,Bihar,0,Graduate,English Lit,Languages and Fine Arts,First,Supremo
BH014800,Shri Ramadhar,Bihar,1,P.G.,English Lit,Languages and Fine Arts,Second,Supremo
BH015000,Shri Ic Kumar,Bihar,0,Graduate,Political Sc.,Social Science and Liberal Arts,Second,Supremo
BH015000,Shri Ic Kumar,Bihar,1,P.G.,History,Social Science and Liberal Arts,First,Supremo
BH015000,Shri Ic Kumar,Bihar,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
BH015200,Shri J M Lyngdoh,Bihar,0,Certificate,Public Admn,"Governance, Law and Management",Ordinary,Supremo
BH015200,Shri J M Lyngdoh,Bihar,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
GJ007600,Shri M S Dayal,Gujarat,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
GJ007600,Shri M S Dayal,Gujarat,1,P.G.,English Lit,Languages and Fine Arts,First,Supremo
MH012700,Shri K Padmanabhaiah,Maharashtra,0,Graduate,Geology,Natural Sciences,First,Supremo
MH012700,Shri K Padmanabhaiah,Maharashtra,1,P.G.,Geology,Natural Sciences,First,Supremo
MP014200,Shri Kd Saxena,Madhya Pradesh,0,Graduate,English Lit,Languages and Fine Arts,First,Supremo
MP014200,Shri Kd Saxena,Madhya Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
OR009400,Dr. Sk Mahapatra,Odisha,0,Diploma,Economics,Social Science and Liberal Arts,First,Supremo
OR009400,Dr. Sk Mahapatra,Odisha,1,Graduate,History,Social Science and Liberal Arts,First,Supremo
OR009400,Dr. Sk Mahapatra,Odisha,2,P.G.,Political Sc.,Social Science and Liberal Arts,First,Supremo
OR009400,Dr. Sk Mahapatra,Odisha,3,Ph. D.,Anthropology,Social Science and Liberal Arts,Ordinary,Supremo
OR009600,Shri Somnath Som,Odisha,0,Graduate,History,Social Science and Liberal Arts,Second,Supremo
OR009600,Shri Somnath Som,Odisha,1,P.G.,History,Social Science and Liberal Arts,Second,Supremo
PB004900,Shri K S Bains,Punjab,0,Graduate,Civil Engg,"Engineering, Technology and Mathematics",First,Supremo
PB004900,Shri K S Bains,Punjab,1,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
PB005200,Dr. Sada Nand,Punjab,0,Graduate,Agriculture,Others,First,Supremo
PB005200,Dr. Sada Nand,Punjab,1,P.G.,Agriculture,Others,First,Supremo
PB005200,Dr. Sada Nand,Punjab,2,Ph. D.,Horticulture,Others,First,Supremo
RJ010900,Shri Dr Mehta,Rajasthan,0,Graduate,Economics,Social Science and Liberal Arts,Ordinary,Supremo
RJ010900,Shri Dr Mehta,Rajasthan,1,Graduate,Law,"Governance, Law and Management",Ordinary,Supremo
TN010700,Shri Ras Das,Tamil Nadu,0,Graduate,Economics,Social Science and Liberal Arts,Third,Supremo
UP021800,Ms. Lata Singh,Uttar Pradesh,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
UP021800,Ms. Lata Singh,Uttar Pradesh,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
MH011800,Shri N Jayaraman,Maharashtra,0,Graduate,Law,"Governance, Law and Management",Second,Supremo
MH011800,Shri N Jayaraman,Maharashtra,1,Graduate,Mathematics,"Engineering, Technology and Mathematics",Third,Supremo
MH011800,Shri N Jayaraman,Maharashtra,2,P.G.,Law,"Governance, Law and Management",Second,Supremo
MH011900,Shri Si Jambunathan,Maharashtra,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
MH012000,Shri Sr Kakodkar,Maharashtra,0,Certificate,French,Languages and Fine Arts,First,Supremo
MH012000,Shri Sr Kakodkar,Maharashtra,1,Graduate,Philosophy,Social Science and Liberal Arts,First,Supremo
MH012000,Shri Sr Kakodkar,Maharashtra,2,P.G.,Business Admn.,"Governance, Law and Management",Ordinary,Supremo
MH012000,Shri Sr Kakodkar,Maharashtra,3,P.G.,Philosophy,Social Science and Liberal Arts,Second,Supremo
MH012100,Shri Pb Rajagopalan,Maharashtra,0,P.G.,Statistics,"Engineering, Technology and Mathematics",Second,Supremo
MH012200,Shri Akg Desai,Maharashtra,0,Certificate,Spanish,Languages and Fine Arts,First,Supremo
MH012200,Shri Akg Desai,Maharashtra,1,Graduate,Geography,Social Science and Liberal Arts,Second,Supremo
MH012200,Shri Akg Desai,Maharashtra,2,Graduate,Law,"Governance, Law and Management",First,Supremo
MH012200,Shri Akg Desai,Maharashtra,3,P.G.,Geography,Social Science and Liberal Arts,First,Supremo
MH012300,Shri Bn Bhagwat,Maharashtra,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
MH012300,Shri Bn Bhagwat,Maharashtra,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
MH012400,Shri Dk Jain,Maharashtra,0,Graduate,History,Social Science and Liberal Arts,First,Supremo
MH012400,Shri Dk Jain,Maharashtra,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
MH012500,Shri V Sundaram,Maharashtra,0,Graduate,Nuclear Physics,Natural Sciences,First,Supremo
MH012500,Shri V Sundaram,Maharashtra,1,P.G.,Physics,Natural Sciences,Second,Supremo
MH012600,Shri Had Saiwan,Maharashtra,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
MP013900,Shri Sc Behar,Madhya Pradesh,0,Graduate,Political Sc.,Social Science and Liberal Arts,First,Supremo
MP013900,Shri Sc Behar,Madhya Pradesh,1,P.G.,Psychology,Social Science and Liberal Arts,First,Supremo
MP014000,Dr. M K Ranjitsingh,Madhya Pradesh,0,Graduate,History,Social Science and Liberal Arts,Third,Supremo
MP014000,Dr. M K Ranjitsingh,Madhya Pradesh,1,P.G.,History,Social Science and Liberal Arts,Second,Supremo
MP014000,Dr. M K Ranjitsingh,Madhya Pradesh,2,Ph. D.,Ecology,Others,Ordinary,Supremo
MP014100,Shri Sr Sathyam,Madhya Pradesh,0,Diploma,Electronic.dp,"Engineering, Technology and Mathematics",Ordinary,Supremo
MP014100,Shri Sr Sathyam,Madhya Pradesh,1,Diploma,French,Languages and Fine Arts,First,Supremo
MP014100,Shri Sr Sathyam,Madhya Pradesh,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
MP014400,Shri Surajpal Singh,Madhya Pradesh,0,Graduate,History,Social Science and Liberal Arts,Third,Supremo
MP014400,Shri Surajpal Singh,Madhya Pradesh,1,P.G.,History,Social Science and Liberal Arts,Second,Supremo
MT001500,Shri B R Basu,Manipur-Tripura,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
MT001500,Shri B R Basu,Manipur-Tripura,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
NL000800,Shri N Jakhalu,Nagaland,0,Graduate,English,Languages and Fine Arts,Ordinary,Supremo
OR009800,Shri Un Mallik,Odisha,0,Graduate,Economics,Social Science and Liberal Arts,Ordinary,Supremo
OR009800,Shri Un Mallik,Odisha,1,P.G.,English Lit,Languages and Fine Arts,Ordinary,Supremo
PB004800,Shri Tejendra Khanna,Punjab,0,Graduate,Physics,Natural Sciences,First,Supremo
PB004800,Shri Tejendra Khanna,Punjab,1,P.G.,Physics,Natural Sciences,First,Supremo
PB004800,Shri Tejendra Khanna,Punjab,2,P.G.,Public Admn,"Governance, Law and Management",Ordinary,Supremo
PB005000,Shri Gk Balakrishnan,Punjab,0,Graduate,Statistics,"Engineering, Technology and Mathematics",First,Supremo
PB005000,Shri Gk Balakrishnan,Punjab,1,P.G.,Statistics,"Engineering, Technology and Mathematics",First,Supremo
PB005200,Dr. Sada Nand,Punjab,0,Graduate,Agriculture,Others,First,Supremo
PB005200,Dr. Sada Nand,Punjab,1,P.G.,Agriculture,Others,First,Supremo
PB005200,Dr. Sada Nand,Punjab,2,Ph. D.,Horticulture,Others,First,Supremo
RJ010600,Shri Satish Kumar,Rajasthan,0,Certificate,Local Self Govt,"Governance, Law and Management",Ordinary,Supremo
RJ010600,Shri Satish Kumar,Rajasthan,1,Certificate,Management,"Engineering, Technology and Mathematics",Ordinary,Supremo
RJ010600,Shri Satish Kumar,Rajasthan,2,Graduate,Physics,Natural Sciences,First,Supremo
RJ010600,Shri Satish Kumar,Rajasthan,3,P.G.,Physics,Natural Sciences,First,Supremo
RJ010700,Shri Bk Zutshi,Rajasthan,0,Graduate,Physics,Natural Sciences,Second,Supremo
RJ010700,Shri Bk Zutshi,Rajasthan,1,P.G.,Anthropology,Social Science and Liberal Arts,Second,Supremo
RJ010800,Shri As Mehta,Rajasthan,0,Graduate,History,Social Science and Liberal Arts,Second,Supremo
RJ010800,Shri As Mehta,Rajasthan,1,P.G.,History,Social Science and Liberal Arts,Second,Supremo
RJ011100,Shri Ig Jhingran,Rajasthan,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
RJ011100,Shri Ig Jhingran,Rajasthan,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
TN010900,Shri S Rangamani,Tamil Nadu,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
TN010900,Shri S Rangamani,Tamil Nadu,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
TN011000,Shri K M Sarma,Tamil Nadu,0,Diploma,Statistics,"Engineering, Technology and Mathematics",Ordinary,Supremo
TN011000,Shri K M Sarma,Tamil Nadu,1,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
TN011000,Shri K M Sarma,Tamil Nadu,2,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
TN011100,Shri Fj Vaz,Tamil Nadu,0,Diploma,Urban Planning,"Governance, Law and Management",Ordinary,Supremo
TN011100,Shri Fj Vaz,Tamil Nadu,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
TN011100,Shri Fj Vaz,Tamil Nadu,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
TN011200,Shri M Venkatachalam,Tamil Nadu,0,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
TN011201,Shri R R Shunmugham,Tamil Nadu,0,Graduate,Chemistry,Natural Sciences,Second,Supremo
TN011201,Shri R R Shunmugham,Tamil Nadu,1,Graduate,Education,Others,Second,Supremo
TN011201,Shri R R Shunmugham,Tamil Nadu,2,P.G.,Chemistry,Natural Sciences,Second,Supremo
AM006900,Shri A Bhattacharya,Assam Meghalya,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AM006900,Shri A Bhattacharya,Assam Meghalya,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
AM006900,Shri A Bhattacharya,Assam Meghalya,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
AM007100,Shri Cd Tripathi,Assam Meghalya,0,Graduate,English,Languages and Fine Arts,Second,Supremo
AM007100,Shri Cd Tripathi,Assam Meghalya,1,P.G.,Statistics,"Engineering, Technology and Mathematics",Second,Supremo
AM007300,Shri T Cajee,Assam Meghalya,0,Graduate,English,Languages and Fine Arts,Second,Supremo
AM007400,Shri T Aonok,Assam Meghalya,0,Graduate,History,Social Science and Liberal Arts,Second,Supremo
AM007400,Shri T Aonok,Assam Meghalya,1,P.G.,History,Social Science and Liberal Arts,Second,Supremo
AP012600,Shri Bn Yugandhar,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
AP012600,Shri Bn Yugandhar,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
AP012700,Shri Bv Ramarao,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AP012700,Shri Bv Ramarao,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
AP012800,Shri Mvs Prasad Rau,Andhra Pradesh,0,Diploma,Business Admn.,"Governance, Law and Management",Second,Supremo
AP012800,Shri Mvs Prasad Rau,Andhra Pradesh,1,Diploma,Constl.law,"Governance, Law and Management",Ordinary,Supremo
AP012800,Shri Mvs Prasad Rau,Andhra Pradesh,2,Graduate,Banking,Finance,Ordinary,Supremo
AP012800,Shri Mvs Prasad Rau,Andhra Pradesh,3,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AP012900,Dr. M S Rajajee,Andhra Pradesh,0,Graduate,Law,"Governance, Law and Management",First,Supremo
AP012900,Dr. M S Rajajee,Andhra Pradesh,1,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second,Supremo
AP012900,Dr. M S Rajajee,Andhra Pradesh,2,Ph. D.,Intnl Trade.,"Governance, Law and Management",Ordinary,Supremo
AP013000,Shri V Chandramowli,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AP013000,Shri V Chandramowli,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
AP013000,Shri V Chandramowli,Andhra Pradesh,2,P.G.,History,Social Science and Liberal Arts,First,Supremo
AP013100,Shri Kr Venugopal,Andhra Pradesh,0,Graduate,English,Languages and Fine Arts,Third,Supremo
AP013100,Shri Kr Venugopal,Andhra Pradesh,1,P.G.,English,Languages and Fine Arts,Third,Supremo
AP013300,Shri Nk Suroya,Andhra Pradesh,0,Graduate,Commerce,Finance,Third,Supremo
BH015300,Shri Anwarul Hoda,Bihar,0,Graduate,English,Languages and Fine Arts,Second,Supremo
BH015300,Shri Anwarul Hoda,Bihar,1,P.G.,English Lit,Languages and Fine Arts,First,Supremo
BH015500,Shri R N Dash,Bihar,0,Graduate,Political Sc.,Social Science and Liberal Arts,First,Supremo
BH015500,Shri R N Dash,Bihar,1,P.G.,Political Sc.,Social Science and Liberal Arts,First,Supremo
BH015500,Shri R N Dash,Bihar,2,P.G.,Public Admn,"Governance, Law and Management",Ordinary,Supremo
BH015700,Shri B K Singh,Bihar,0,Graduate,English Lit,Languages and Fine Arts,First,Supremo
BH015700,Shri B K Singh,Bihar,1,P.G.,Philosophy,Social Science and Liberal Arts,First,Supremo
BH015800,Shri B P Verma,Bihar,0,Graduate,Physics,Natural Sciences,First,Supremo
BH015900,Shri Vishram Prasad,Bihar,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second,Supremo
BH016000,Shri Mohinder Singh,Bihar,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second,Supremo
BH016000,Shri Mohinder Singh,Bihar,1,P.G.,English,Languages and Fine Arts,Third,Supremo
GJ008300,Shri K G Ramanathan,Gujarat,0,Certificate,Public Admn,"Governance, Law and Management",Ordinary,Supremo
GJ008300,Shri K G Ramanathan,Gujarat,1,P.G.,Physics,Natural Sciences,-,Supremo
GJ008400,Dr. G Sundaram,Gujarat,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
GJ008400,Dr. G Sundaram,Gujarat,1,M.Phil.,Intnl Trade.,"Governance, Law and Management",-,Supremo
GJ008400,Dr. G Sundaram,Gujarat,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
GJ008400,Dr. G Sundaram,Gujarat,3,Ph. D.,Intnl Trade.,"Governance, Law and Management",-,Supremo
GJ008600,Shri K A Varadan,Gujarat,0,Graduate,Statistics,"Engineering, Technology and Mathematics",Ordinary,Supremo
GJ008700,Shri Cb Giridhar,Gujarat,0,Graduate,Physics,Natural Sciences,First,Supremo
GJ008700,Shri Cb Giridhar,Gujarat,1,P.G.,Statistics,"Engineering, Technology and Mathematics",First,Supremo
GJ008800,Shri Arun Sinha,Gujarat,0,Diploma,Public Admn,"Governance, Law and Management",Ordinary,Supremo
GJ008800,Shri Arun Sinha,Gujarat,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
GJ008800,Shri Arun Sinha,Gujarat,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
