ID,Name,Cadre,Reference_Value,Qualification,Subject,Division,Source,Category_of_Subject
WB018800,Shri Radha Kanta Tripathy,West Bengal,1,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
WB018900,Ms. Bindu Zutshi(Tsering),West Bengal,0,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
WB019000,Shri Ac Kol,West Bengal,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
WB019000,Shri Ac Kol,West Bengal,1,Graduate,Physics,Second,Supremo,Natural Sciences
WB019100,Shri Naresh Kumar Zutshi,West Bengal,0,Certificate,German,Ordinary,Supremo,Languages and Fine Arts
WB019100,Shri Naresh Kumar Zutshi,West Bengal,1,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
WB019100,Shri Naresh Kumar Zutshi,West Bengal,2,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
WB019101,Shri Srikandath Narayan Menon,West Bengal,0,Graduate,History,First,Supremo,Social Science and Liberal Arts
WB019101,Shri Srikandath Narayan Menon,West Bengal,1,P.G.,History,First,Supremo,Social Science and Liberal Arts
WB019106,Shri S K Chatterjee,West Bengal,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
WB019106,Shri S K Chatterjee,West Bengal,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
WB019106,Shri S K Chatterjee,West Bengal,2,P.G.,History,Second,Supremo,Social Science and Liberal Arts
AM011800,Shri S K Purkayastha,Assam Meghalya,0,Graduate,English,Second,Supremo,Languages and Fine Arts
AM011800,Shri S K Purkayastha,Assam Meghalya,1,Graduate,Law,Ordinary,Supremo,"Governance, Law and Management"
AM011800,Shri S K Purkayastha,Assam Meghalya,2,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
AM011800,Shri S K Purkayastha,Assam Meghalya,3,P.G.,English,Second,Supremo,Languages and Fine Arts
AP018900,Shri Anugraha Narayan Tiwari,Andhra Pradesh,0,Graduate,Political Sc.,First,Supremo,Social Science and Liberal Arts
AP018900,Shri Anugraha Narayan Tiwari,Andhra Pradesh,1,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
AP019000,Shri R C Samal,Andhra Pradesh,0,Diploma,Dev Adm,Ordinary,Supremo,"Governance, Law and Management"
AP019000,Shri R C Samal,Andhra Pradesh,1,Graduate,Political Sc.,Second,Supremo,Social Science and Liberal Arts
AP019000,Shri R C Samal,Andhra Pradesh,2,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
AP019401,Shri T K Dewan,Andhra Pradesh,0,Graduate,Political Sc.,Second,Supremo,Social Science and Liberal Arts
AP019402,Shri Soudagar Anwar,Andhra Pradesh,0,Certificate,Arabic,Ordinary,Supremo,Languages and Fine Arts
AP019402,Shri Soudagar Anwar,Andhra Pradesh,1,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
AP019402,Shri Soudagar Anwar,Andhra Pradesh,2,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
BH020300,Shri Pratyush Sinha,Bihar,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
BH020300,Shri Pratyush Sinha,Bihar,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
BH020300,Shri Pratyush Sinha,Bihar,2,P.G.,History,First,Supremo,Social Science and Liberal Arts
GJ015500,Shri Pravin Kanubhai Laheri,Gujarat,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
GJ015500,Shri Pravin Kanubhai Laheri,Gujarat,1,Graduate,Political Sc.,Second,Supremo,Social Science and Liberal Arts
MH022900,Shri Nand Lal,Maharashtra,0,Graduate,English,Second,Supremo,Languages and Fine Arts
MH022900,Shri Nand Lal,Maharashtra,1,P.G.,Philosophy,First,Supremo,Social Science and Liberal Arts
MP022100,Shri Ak Bhatt,Madhya Pradesh,0,Graduate,Political Sc.,First,Supremo,Social Science and Liberal Arts
MP022100,Shri Ak Bhatt,Madhya Pradesh,1,P.G.,Development Economics,Ordinary,Supremo,Social Science and Liberal Arts
MP022100,Shri Ak Bhatt,Madhya Pradesh,2,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
MP022601,Shri Shekhar Dutt,Madhya Pradesh,0,Graduate,Physics,Second,Supremo,Natural Sciences
RJ014300,Dr. Adarsh Kishore,Rajasthan,0,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
RJ014300,Dr. Adarsh Kishore,Rajasthan,1,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
RJ014300,Dr. Adarsh Kishore,Rajasthan,2,Ph. D.,Social Sciences,-,Supremo,Social Science and Liberal Arts
RJ014500,Ms. Chitra Chopra,Rajasthan,0,Graduate,English,Second,Supremo,Languages and Fine Arts
RJ014500,Ms. Chitra Chopra,Rajasthan,1,P.G.,English,First,Supremo,Languages and Fine Arts
UT008300,Shri Navin B Chawla,A G M U T,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
UT008800,Shri B P Mishra,A G M U T,0,Graduate,Political Sc.,Second,Supremo,Social Science and Liberal Arts
UT008800,Shri B P Mishra,A G M U T,1,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
WB018500,Shri Pranab Ray,West Bengal,0,Graduate,Physics,Second,Supremo,Natural Sciences
WB018500,Shri Pranab Ray,West Bengal,1,P.G.,Physics,Second,Supremo,Natural Sciences
MH022500,Shri Raj Kumar Zutshi,Maharashtra,0,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
MH022500,Shri Raj Kumar Zutshi,Maharashtra,1,P.G.,History,First,Supremo,Social Science and Liberal Arts
MH022600,Shri Vinay Akshay Bansal,Maharashtra,0,Diploma,Business Admn.,Ordinary,Supremo,"Governance, Law and Management"
MH022600,Shri Vinay Akshay Bansal,Maharashtra,1,Diploma,French,First,Supremo,Languages and Fine Arts
MH022600,Shri Vinay Akshay Bansal,Maharashtra,2,Graduate,Physics,First,Supremo,Natural Sciences
MH022600,Shri Vinay Akshay Bansal,Maharashtra,3,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
MH022700,Shri P Mohd Abdul Hakeem,Maharashtra,0,Certificate,Rural Dev,Ordinary,Supremo,"Governance, Law and Management"
MH022700,Shri P Mohd Abdul Hakeem,Maharashtra,1,Graduate,Physics,First,Supremo,Natural Sciences
MH022700,Shri P Mohd Abdul Hakeem,Maharashtra,2,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
MH022700,Shri P Mohd Abdul Hakeem,Maharashtra,3,P.G.,Physics,First,Supremo,Natural Sciences
MH022800,Shri Navin Kumar,Maharashtra,0,Graduate,Physics,First,Supremo,Natural Sciences
MH022800,Shri Navin Kumar,Maharashtra,1,P.G.,Physics,First,Supremo,Natural Sciences
MH023100,Shri Dbs Sohal,Maharashtra,0,Graduate,English,Second,Supremo,Languages and Fine Arts
MH023200,Ms. Kumud Bansal,Maharashtra,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
MH023200,Ms. Kumud Bansal,Maharashtra,1,P.G.,English,Second,Supremo,Languages and Fine Arts
MH023201,Shri O P Gahrotra,Maharashtra,0,Graduate,Chemistry,Third,Supremo,Natural Sciences
MH023201,Shri O P Gahrotra,Maharashtra,1,P.G.,Business Admn.,First,Supremo,"Governance, Law and Management"
MH023202,Shri A S Khot,Maharashtra,0,Graduate,English,Third,Supremo,Languages and Fine Arts
MP022000,Shri Nn Andrews,Madhya Pradesh,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
MP022000,Shri Nn Andrews,Madhya Pradesh,1,P.G.,Economics,Third,Supremo,Social Science and Liberal Arts
MP022200,Shri Jadadendra Lal Bose,Madhya Pradesh,0,Certificate,Economics,Ordinary,Supremo,Social Science and Liberal Arts
MP022200,Shri Jadadendra Lal Bose,Madhya Pradesh,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
MP022200,Shri Jadadendra Lal Bose,Madhya Pradesh,2,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
MP022600,Shri Sl Johia,Madhya Pradesh,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
MP022600,Shri Sl Johia,Madhya Pradesh,1,Graduate,Sanskrit,Second,Supremo,Languages and Fine Arts
OR015400,Shri Prasanna Kumar Hota,Odisha,0,Graduate,Political Sc.,First,Supremo,Social Science and Liberal Arts
OR015400,Shri Prasanna Kumar Hota,Odisha,1,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
OR015400,Shri Prasanna Kumar Hota,Odisha,2,P.G.,Public Admn,First,Supremo,"Governance, Law and Management"
OR015500,Shri Ashok Kumar Misra,Odisha,0,Graduate,History,First,Supremo,Social Science and Liberal Arts
OR015500,Shri Ashok Kumar Misra,Odisha,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
OR015500,Shri Ashok Kumar Misra,Odisha,2,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
OR015600,Shri Shankar Krishan Menon,Odisha,0,Graduate,English,Third,Supremo,Languages and Fine Arts
OR015600,Shri Shankar Krishan Menon,Odisha,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
PB010100,Shri Sr Bunger,Punjab,0,Graduate,English,Second,Supremo,Languages and Fine Arts
PB010100,Shri Sr Bunger,Punjab,1,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
PB010103,Shri Pd Vashist,Punjab,0,Graduate,English,Third,Supremo,Languages and Fine Arts
PB010104,Shri Bikramjit Singh,Punjab,0,Graduate,English,Second,Supremo,Languages and Fine Arts
PB010200,Ms. Rupan Deol Bajaj,Punjab,0,Certificate,French,-,Supremo,Languages and Fine Arts
PB010200,Ms. Rupan Deol Bajaj,Punjab,1,Graduate,English,First,Supremo,Languages and Fine Arts
PB010200,Ms. Rupan Deol Bajaj,Punjab,2,Graduate,English Lit,First,Supremo,Languages and Fine Arts
PB010200,Ms. Rupan Deol Bajaj,Punjab,3,P.G.,History,Second,Supremo,Social Science and Liberal Arts
PB010200,Ms. Rupan Deol Bajaj,Punjab,4,P.G.,Philosophy,Second,Supremo,Social Science and Liberal Arts
PB010300,Shri G Patnaik,Punjab,0,Certificate,Chinese,First,Supremo,Languages and Fine Arts
PB010300,Shri G Patnaik,Punjab,1,Graduate,Political Sc.,First,Supremo,Social Science and Liberal Arts
PB010300,Shri G Patnaik,Punjab,2,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
PB010500,Ms. Asha Attri,Punjab,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
PB010500,Ms. Asha Attri,Punjab,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
RJ014400,Shri Bs Minhas,Rajasthan,0,Graduate,Chemistry,Second,Supremo,Natural Sciences
RJ014400,Shri Bs Minhas,Rajasthan,1,P.G.,Botany,Second,Supremo,Natural Sciences
RJ014501,Shri Murlidhar Kaurani,Rajasthan,0,Graduate,Commerce,Ordinary,Supremo,Finance
RJ014506,Dr. Nr Bhasin,Rajasthan,0,Graduate,Animal Husby,First,Supremo,Others
RJ014506,Dr. Nr Bhasin,Rajasthan,1,P.G.,Animal Husby,First,Supremo,Others
RJ014506,Dr. Nr Bhasin,Rajasthan,2,Ph. D.,Animal Husby,Ordinary,Supremo,Others
TN016400,Shri R Poornalingam,Tamil Nadu,0,Graduate,Electrical Engg.,First,Supremo,"Engineering, Technology and Mathematics"
TN016400,Shri R Poornalingam,Tamil Nadu,1,LL.B.,Law,Ordinary,Supremo,"Governance, Law and Management"
TN016400,Shri R Poornalingam,Tamil Nadu,2,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
TN016500,Shri P Natesan,Tamil Nadu,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
TN016500,Shri P Natesan,Tamil Nadu,1,P.G.,Economics,Third,Supremo,Social Science and Liberal Arts
TN016600,Shri Natarajan Narayanan,Tamil Nadu,0,Graduate,Electrical Engg.,First,Supremo,"Engineering, Technology and Mathematics"
TN016700,Shri Pavan Raina,Tamil Nadu,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
TN016700,Shri Pavan Raina,Tamil Nadu,1,P.G.,History,First,Supremo,Social Science and Liberal Arts
TN016900,Shri Js Kang,Tamil Nadu,0,Graduate,English,Second,Supremo,Languages and Fine Arts
TN016900,Shri Js Kang,Tamil Nadu,1,P.G.,English,Second,Supremo,Languages and Fine Arts
TN017000,Shri Jt Acharyulu,Tamil Nadu,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
TN017000,Shri Jt Acharyulu,Tamil Nadu,1,Graduate,Zoology,Third,Supremo,Natural Sciences
TN017001,Shri Nirmal Singh,Tamil Nadu,0,Graduate,Public Admn,Second,Supremo,"Governance, Law and Management"
TN017009,Shri M Paramasivam,Tamil Nadu,0,Graduate,History,Third,Supremo,Social Science and Liberal Arts
TN017009,Shri M Paramasivam,Tamil Nadu,1,P.G.,History,Second,Supremo,Social Science and Liberal Arts
TN017011,Shri Ss Subramanian,Tamil Nadu,0,Graduate,Law,Third,Supremo,"Governance, Law and Management"
TN017011,Shri Ss Subramanian,Tamil Nadu,1,Graduate,Psychology,Second,Supremo,Social Science and Liberal Arts
TN017011,Shri Ss Subramanian,Tamil Nadu,2,P.G.,Business Admn.,Ordinary,Supremo,"Governance, Law and Management"
AM011802,Shri Agya Pal Singh,Assam Meghalya,0,Certificate,Air Navigation Sys.,Ordinary,Supremo,"Engineering, Technology and Mathematics"
AM011802,Shri Agya Pal Singh,Assam Meghalya,1,Graduate,Physics,Second,Supremo,Natural Sciences
AM011802,Shri Agya Pal Singh,Assam Meghalya,2,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
AM011802,Shri Agya Pal Singh,Assam Meghalya,3,P.G.,Social Planning,Ordinary,Supremo,"Governance, Law and Management"
AP019600,Shri M Narayana Rao,Andhra Pradesh,0,Graduate,Physics,First,Supremo,Natural Sciences
AP019600,Shri M Narayana Rao,Andhra Pradesh,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
AP019700,Shri A Ragotham Rao,Andhra Pradesh,0,Graduate,Electronics,First,Supremo,"Engineering, Technology and Mathematics"
AP019700,Shri A Ragotham Rao,Andhra Pradesh,1,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
AP019800,Shri J Harinarayan,Andhra Pradesh,0,Graduate,Physics,Second,Supremo,Natural Sciences
AP019800,Shri J Harinarayan,Andhra Pradesh,1,P.G.,History,Second,Supremo,Social Science and Liberal Arts
AP019900,Shri N S Hariharan,Andhra Pradesh,0,Diploma,Management,Ordinary,Supremo,"Engineering, Technology and Mathematics"
AP019900,Shri N S Hariharan,Andhra Pradesh,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
AP019900,Shri N S Hariharan,Andhra Pradesh,2,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
AP020000,Shri Tg Rao,Andhra Pradesh,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
AP020000,Shri Tg Rao,Andhra Pradesh,1,Graduate,Mathematics,Third,Supremo,"Engineering, Technology and Mathematics"
AP020000,Shri Tg Rao,Andhra Pradesh,2,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
AP020000,Shri Tg Rao,Andhra Pradesh,3,P.G.,Social Planning,Ordinary,Supremo,"Governance, Law and Management"
BH021000,Shri G S Kang,Bihar,0,Graduate,English,Second,Supremo,Languages and Fine Arts
BH021000,Shri G S Kang,Bihar,1,P.G.,English,Second,Supremo,Languages and Fine Arts
BH021000,Shri G S Kang,Bihar,2,P.G.,History,Second,Supremo,Social Science and Liberal Arts
CG023200,Dr. Kalyan Kumar Chakravarty,Chhattisgarh,0,Graduate,History,First,Supremo,Social Science and Liberal Arts
CG023200,Dr. Kalyan Kumar Chakravarty,Chhattisgarh,1,P.G.,Fine Arts,First,Supremo,Languages and Fine Arts
CG023200,Dr. Kalyan Kumar Chakravarty,Chhattisgarh,2,P.G.,Modern Ind.Hist,First,Supremo,Social Science and Liberal Arts
CG023200,Dr. Kalyan Kumar Chakravarty,Chhattisgarh,3,P.G.,Public Admn,First,Supremo,"Governance, Law and Management"
CG023200,Dr. Kalyan Kumar Chakravarty,Chhattisgarh,4,Ph. D.,Public Admn,First,Supremo,"Governance, Law and Management"
CG023400,Dr. Sc Mazumdar,Chhattisgarh,0,Graduate,Zoology,Second,Supremo,Natural Sciences
CG023400,Dr. Sc Mazumdar,Chhattisgarh,1,P.G.,Zoology,First,Supremo,Natural Sciences
CG023400,Dr. Sc Mazumdar,Chhattisgarh,2,Ph. D.,Cytogenetics,Ordinary,Supremo,Natural Sciences
CG023500,Shri Robert Hrangadawala,Chhattisgarh,0,Graduate,English,First,Supremo,Languages and Fine Arts
CG023500,Shri Robert Hrangadawala,Chhattisgarh,1,LL.B.,Law,Second,Supremo,"Governance, Law and Management"
CG023501,Shri Ram Prakash Bagai,Chhattisgarh,0,Graduate,Physics,Second,Supremo,Natural Sciences
UD030600,Ms. P Jyoti Rao,Uttarakhand,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
UD030600,Ms. P Jyoti Rao,Uttarakhand,1,P.G.,English Lit,First,Supremo,Languages and Fine Arts
UP030000,Shri R M Sethi,Uttar Pradesh,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
UP030000,Shri R M Sethi,Uttar Pradesh,1,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
UP030100,Shri H Sanwal,Uttar Pradesh,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
UP030200,Shri Ravi Mathur,Uttar Pradesh,0,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
UP030200,Shri Ravi Mathur,Uttar Pradesh,1,P.G.,English Lit,First,Supremo,Languages and Fine Arts
UP030700,Shri Ajit Kumar Jain,Uttar Pradesh,0,B.Com Honours,Commerce,First,Supremo,Finance
UP030800,Dr. Dr Surya Prasad,Uttar Pradesh,0,Graduate,Chemistry,Second,Supremo,Natural Sciences
UP030800,Dr. Dr Surya Prasad,Uttar Pradesh,1,P.G.,Chemistry,First,Supremo,Natural Sciences
UP030800,Dr. Dr Surya Prasad,Uttar Pradesh,2,Ph. D.,Organic Chemistry,Ordinary,Supremo,Natural Sciences
UP030801,Shri Dhananjaya Prasad Singh,Uttar Pradesh,0,Diploma,Tourism,Ordinary,Supremo,Others
UP030801,Shri Dhananjaya Prasad Singh,Uttar Pradesh,1,Graduate,English,Second,Supremo,Languages and Fine Arts
UP030801,Shri Dhananjaya Prasad Singh,Uttar Pradesh,2,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
UP030808,Shri Ravi Prakash,Uttar Pradesh,0,Graduate,Geology,Second,Supremo,Natural Sciences
UP030808,Shri Ravi Prakash,Uttar Pradesh,1,P.G.,Geology,First,Supremo,Natural Sciences
UP030900,Shri Shambhu Nath,Uttar Pradesh,0,Graduate,English,Second,Supremo,Languages and Fine Arts
UP030900,Shri Shambhu Nath,Uttar Pradesh,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
UT009000,Shri Satyendra Pal Aggarwal,A G M U T,0,Graduate,Physics,Second,Supremo,Natural Sciences
UT009000,Shri Satyendra Pal Aggarwal,A G M U T,1,P.G.,Business Admn.,First,Supremo,"Governance, Law and Management"
UT009000,Shri Satyendra Pal Aggarwal,A G M U T,2,P.G.,Physics,First,Supremo,Natural Sciences
UT009100,Ms. Meenakshi Datta Ghosh,A G M U T,0,Diploma,French,Ordinary,Supremo,Languages and Fine Arts
UT009100,Ms. Meenakshi Datta Ghosh,A G M U T,1,Graduate,History,Second,Supremo,Social Science and Liberal Arts
UT009100,Ms. Meenakshi Datta Ghosh,A G M U T,2,P.G.,Public Admn,Ordinary,Supremo,"Governance, Law and Management"
UT009100,Ms. Meenakshi Datta Ghosh,A G M U T,3,P.G.,Sociology,Second,Supremo,Social Science and Liberal Arts
UT009200,Shri Baleshwar Rai,A G M U T,0,Graduate,Geography,First,Supremo,Social Science and Liberal Arts
UT009200,Shri Baleshwar Rai,A G M U T,1,P.G.,Ancient History,First,Supremo,Social Science and Liberal Arts
UT009200,Shri Baleshwar Rai,A G M U T,2,PG Diploma,Development Economics,Ordinary,Supremo,Social Science and Liberal Arts
UT009300,Shri Subash Chander Sharma,A G M U T,0,Graduate,English,Second,Supremo,Languages and Fine Arts
UT009400,Shri Satish Chandra,A G M U T,0,Diploma,Public Admn,Gold Medalist,Supremo,"Governance, Law and Management"
UT009400,Shri Satish Chandra,A G M U T,1,Graduate,Mech.engg.,Gold Medalist,Supremo,"Engineering, Technology and Mathematics"
UT009400,Shri Satish Chandra,A G M U T,2,P.G.,Metropolitan Planning,First,Supremo,"Governance, Law and Management"
UT009400,Shri Satish Chandra,A G M U T,3,P.G. (USA),Mech.engg.,First,Supremo,"Engineering, Technology and Mathematics"
UT014402,Shri Mm Lal,A G M U T,0,Graduate,Chemistry,Third,Supremo,Natural Sciences
UT014402,Shri Mm Lal,A G M U T,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
UT014402,Shri Mm Lal,A G M U T,2,P.G.,Mathematics,Third,Supremo,"Engineering, Technology and Mathematics"
GJ015800,Ms. Anuradha Mansingh,Gujarat,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
GJ015800,Ms. Anuradha Mansingh,Gujarat,1,P.G.,English Lit,First,Supremo,Languages and Fine Arts
GJ015801,Shri Labanyendu Mansingh,Gujarat,0,Graduate,Political Sc.,First,Supremo,Social Science and Liberal Arts
GJ015801,Shri Labanyendu Mansingh,Gujarat,1,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
GJ015801,Shri Labanyendu Mansingh,Gujarat,2,PG Diploma,Public Admn,Ordinary,Supremo,"Governance, Law and Management"
HY009300,Ms. Asha Sharma,Haryana,0,Graduate,Political Sc.,Third,Supremo,Social Science and Liberal Arts
HY009300,Ms. Asha Sharma,Haryana,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
HY009400,Shri Krishan Chander Sharma,Haryana,0,Graduate,English,Second,Supremo,Languages and Fine Arts
HY009400,Shri Krishan Chander Sharma,Haryana,1,P.G.,Political Sc.,Ordinary,Supremo,Social Science and Liberal Arts
HY009500,Shri Prem Prashant,Haryana,0,Graduate,Physics,Second,Supremo,Natural Sciences
HY009500,Shri Prem Prashant,Haryana,1,P.G.,Physics,First,Supremo,Natural Sciences
HY009501,Shri Ved Prkash Dhir,Haryana,0,Graduate,English,First,Supremo,Languages and Fine Arts
HY009501,Shri Ved Prkash Dhir,Haryana,1,P.G.,English,Second,Supremo,Languages and Fine Arts
HY009503,Ms. Sushil Dogra,Haryana,0,Graduate,Education,First,Supremo,Others
HY009503,Ms. Sushil Dogra,Haryana,1,Graduate,Philosophy,Second,Supremo,Social Science and Liberal Arts
HY009503,Ms. Sushil Dogra,Haryana,2,P.G.,Psychology,First,Supremo,Social Science and Liberal Arts
HY009505,Shri Sl Dhani,Haryana,0,Diploma,Public Admn,Second,Supremo,"Governance, Law and Management"
HY009505,Shri Sl Dhani,Haryana,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
HY009505,Shri Sl Dhani,Haryana,2,Graduate,Sanskrit,Third,Supremo,Languages and Fine Arts
HY009505,Shri Sl Dhani,Haryana,3,P.G.,History,First,Supremo,Social Science and Liberal Arts
HY009506,Shri N K Garg,Haryana,0,Graduate,English,First,Supremo,Languages and Fine Arts
HY009506,Shri N K Garg,Haryana,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
HY009507,Shri Rs Malik,Haryana,0,Graduate,English,Second,Supremo,Languages and Fine Arts
HY009507,Shri Rs Malik,Haryana,1,P.G.,Political Sc.,Third,Supremo,Social Science and Liberal Arts
HY009508,Shri Raghbir Singh,Haryana,0,Graduate,English,Third,Supremo,Languages and Fine Arts
HY009508,Shri Raghbir Singh,Haryana,1,P.G.,English,Third,Supremo,Languages and Fine Arts
HY009508,Shri Raghbir Singh,Haryana,2,P.G.,Public Admn,Second,Supremo,"Governance, Law and Management"
JH020800,Ms. Lakshmi Singh,Jharkhand,0,Graduate,English,Second,Supremo,Languages and Fine Arts
JH020800,Ms. Lakshmi Singh,Jharkhand,1,LL.B.,Law,Second,Supremo,"Governance, Law and Management"
JH020800,Ms. Lakshmi Singh,Jharkhand,2,P.G.,English,Second,Supremo,Languages and Fine Arts
JH020900,Shri Braj Kishore Singh,Jharkhand,0,Graduate,Physics,First,Supremo,Natural Sciences
JH020900,Shri Braj Kishore Singh,Jharkhand,1,LL.B.,Law,First,Supremo,"Governance, Law and Management"
JH020900,Shri Braj Kishore Singh,Jharkhand,2,P.G.,Physics,First,Supremo,Natural Sciences
JH021200,Ms. Sunila Basant,Jharkhand,0,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
JH021202,Shri A K Mishra,Jharkhand,0,Graduate,Economics,Ordinary,Supremo,Social Science and Liberal Arts
JK003000,Shri Ajit Kumar,Jammu & Kashmir,0,Diploma,Russian,Ordinary,Supremo,Languages and Fine Arts
JK003000,Shri Ajit Kumar,Jammu & Kashmir,1,Graduate,Geology,First,Supremo,Natural Sciences
JK003000,Shri Ajit Kumar,Jammu & Kashmir,2,P.G.,Geology,First,Supremo,Natural Sciences
JK003100,Shri Amit Kushari,Jammu & Kashmir,0,Graduate,Physics,First,Supremo,Natural Sciences
JK003100,Shri Amit Kushari,Jammu & Kashmir,1,P.G.,Physics,First,Supremo,Natural Sciences
JK003200,Shri Vijay Bakaya,Jammu & Kashmir,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
JK003200,Shri Vijay Bakaya,Jammu & Kashmir,1,P.G.,History,First,Supremo,Social Science and Liberal Arts
JK003300,Shri Sl Sailova,Jammu & Kashmir,0,Graduate,Education,Second,Supremo,Others
JK003300,Shri Sl Sailova,Jammu & Kashmir,1,Graduate,English,Ordinary,Supremo,Languages and Fine Arts
JK003301,Shri G Qadir Lone,Jammu & Kashmir,0,Graduate,English,Second,Supremo,Languages and Fine Arts
JK003301,Shri G Qadir Lone,Jammu & Kashmir,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
JK003301,Shri G Qadir Lone,Jammu & Kashmir,2,P.G.,Persian,Second,Supremo,Languages and Fine Arts
KL008600,Shri K M Chandrasekhar,Kerala,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
KL008600,Shri K M Chandrasekhar,Kerala,1,P.G.,Business Admn.,First,Supremo,"Governance, Law and Management"
KL008600,Shri K M Chandrasekhar,Kerala,2,P.G.,History,First,Supremo,Social Science and Liberal Arts
KL008700,Shri Prithvi Singh,Kerala,0,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
KL008700,Shri Prithvi Singh,Kerala,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
KL008800,Shri Mohammed Riazuddin,Kerala,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
KL008800,Shri Mohammed Riazuddin,Kerala,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
KL008800,Shri Mohammed Riazuddin,Kerala,2,P.G.,Physics,First,Supremo,Natural Sciences
KL008900,Shri Ct Sukumaran,Kerala,0,Diploma,Dev Adm,Ordinary,Supremo,"Governance, Law and Management"
KL008900,Shri Ct Sukumaran,Kerala,1,Diploma,English,Second,Supremo,Languages and Fine Arts
KL008900,Shri Ct Sukumaran,Kerala,2,Graduate,Chemistry,Third,Supremo,Natural Sciences
KL008900,Shri Ct Sukumaran,Kerala,3,P.G.,English Lit,Third,Supremo,Languages and Fine Arts
KN014800,Dr.(Ms.) Malti Das,Karnataka,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
KN014800,Dr.(Ms.) Malti Das,Karnataka,1,P.G.,English,First,Supremo,Languages and Fine Arts
